"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","SOS SEASON","ECR VS. ADP"
"63",7,"Luke Schoonmaker",DAL,"7","2 out of 5 stars","-16"
"64",7,"Cole Turner",WAS,"14","2 out of 5 stars","-"
"65",7,"Jared Wiley",KC,"6","3 out of 5 stars","-25"
"66",7,"Irv Smith Jr.",KC,"6","3 out of 5 stars","-5"
"67",7,"Lucas Krull",DEN,"14","2 out of 5 stars","-"
"68",7,"Tip Reiman",ARI,"11","5 out of 5 stars","-1"
"69",7,"Brock Wright",DET,"5","3 out of 5 stars","-"
"70",8,"AJ Barner",SEA,"10","3 out of 5 stars","-17"
"71",8,"Josh Whyle",TEN,"5","4 out of 5 stars","-5"
"72",8,"Drew Sample",CIN,"12","3 out of 5 stars","-"
"73",8,"Mo Alie-Cox",IND,"14","3 out of 5 stars","-"
"74",8,"Robert Tonyan",MIN,"6","2 out of 5 stars","-"
"75",8,"Brenton Strange",JAC,"12","3 out of 5 stars","-13"
"76",8,"Pharaoh Brown",SEA,"10","3 out of 5 stars","-"
"77",8,"Ian Thomas",CAR,"11","3 out of 5 stars","-"
"78",8,"Jordan Akins",CLE,"10","3 out of 5 stars","-"
"79",8,"Harrison Bryant",LV,"10","4 out of 5 stars","-"
"80",8,"Luke Farrell",JAC,"12","3 out of 5 stars","-"
"81",8,"Connor Heyward",PIT,"9","3 out of 5 stars","-"
"82",8,"Dallin Holker",NO,"12","4 out of 5 stars","-38"
"83",8,"Charlie Woerner",ATL,"12","3 out of 5 stars","-"
"84",8,"Tanner McLachlan",CIN,"12","3 out of 5 stars","-19"
"85",8,"Charlie Kolar",BAL,"14","3 out of 5 stars","-"
"86",8,"Elijah Higgins",ARI,"11","5 out of 5 stars","-"
"87",8,"John Bates",WAS,"14","2 out of 5 stars","-"
"88",8,"Peyton Hendershot",DAL,"7","2 out of 5 stars","-"
"89",8,"Payne Durham",TB,"11","3 out of 5 stars","-"
"90",8,"Drew Ogletree",IND,"14","3 out of 5 stars","-"
"91",9,"C.J. Uzomah",PHI,"5","4 out of 5 stars","-"
"92",9,"Stone Smartt",LAC,"5","3 out of 5 stars","-"
"93",9,"Ko Kieft",TB,"11","3 out of 5 stars","-"
"94",9,"Albert Okwuegbunam Jr.",PHI,"5","4 out of 5 stars","-"
"95",9,"Quintin Morris",BUF,"12","2 out of 5 stars","-"
"96",9,"MyCole Pruitt",PIT,"9","3 out of 5 stars","-"
"97",9,"James Mitchell",DET,"5","3 out of 5 stars","-"
"98",9,"Jack Stoll",NYG,"11","4 out of 5 stars","-"
"99",9,"Chris Manhertz",NYG,"11","4 out of 5 stars","-"
"100",9,"Devin Culp",TB,"11","3 out of 5 stars","-"
"101",9,"Jesper Horsted",CAR,"11","3 out of 5 stars","-"
"102",9,"Brayden Willis",SF,"9","4 out of 5 stars","-"
"103",9,"Zack Kuntz",NYJ,"12","3 out of 5 stars","-"
"104",9,"Kenny Yeboah",NYJ,"12","3 out of 5 stars","-"
"105",9,"Grant Calcaterra",PHI,"5","4 out of 5 stars","-"
"106",9,"Hunter Long",LAR,"6","3 out of 5 stars","-"
"107",9,"Cameron Latu",SF,"9","4 out of 5 stars","-61"
"108",9,"Teagan Quitoriano",HOU,"14","2 out of 5 stars","-"
"109",9,"Ross Dwelley",ATL,"12","3 out of 5 stars","-54"
"110",9,"Julian Hill",MIA,"6","2 out of 5 stars","-"
"111",9,"Stephen Sullivan",CAR,"11","3 out of 5 stars","-"
"112",10,"Ben Sims",GB,"10","3 out of 5 stars","-"
"113",10,"Josiah Deguara",JAC,"12","3 out of 5 stars","-"
"114",10,"Sean McKeon",DET,"5","3 out of 5 stars","-"
"115",10,"Rodney Williams",PIT,"9","3 out of 5 stars","-"
