"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"130",8,"Malik Willis",MIA,"QB21","6","4 out of 5","4 out of 5","3 out of 5 stars","+37"
"131",8,"Jordyn Tyson",NO,"WR54","8","3 out of 5","4 out of 5","3 out of 5 stars","-3"
"132",9,"Juwan Johnson",NO,"TE16","8","4 out of 5","2 out of 5","2 out of 5 stars","+21"
"133",9,"Woody Marks",HOU,"RB42","8","3 out of 5","4 out of 5","4 out of 5 stars","+3"
"134",9,"Tyjae Spears",TEN,"RB43","9","3 out of 5","4 out of 5","3 out of 5 stars","+10"
"135",9,"Tyler Allgeier",ARI,"RB44","14","3 out of 5","4 out of 5","2 out of 5 stars","+8"
"136",9,"Deebo Samuel Sr.",SF,"WR55","8","4 out of 5","3 out of 5","2 out of 5 stars","-7"
"137",9,"Sam Darnold",SEA,"QB22","11","2 out of 5","4 out of 5","4 out of 5 stars","+48"
"138",9,"Chris Rodriguez Jr.",JAC,"RB45","7","2 out of 5","4 out of 5","4 out of 5 stars","+3"
"139",9,"C.J. Stroud",HOU,"QB23","8","3 out of 5","4 out of 5","4 out of 5 stars","+41"
"140",9,"De'Zhaun Stribling",SF,"WR56","8","3 out of 5","4 out of 5","2 out of 5 stars","-14"
"141",9,"Dylan Sampson",CLE,"RB46","11","4 out of 5","2 out of 5","3 out of 5 stars","+55"
"142",9,"Daniel Jones",IND,"QB24","13","4 out of 5","4 out of 5","4 out of 5 stars","+34"
"143",9,"Rashid Shaheed",SEA,"WR57","11","3 out of 5","4 out of 5","3 out of 5 stars","-1"
"144",9,"Denzel Boston",CLE,"WR58","11","4 out of 5","4 out of 5","3 out of 5 stars","+20"
"145",9,"Keaton Mitchell",LAC,"RB47","7","4 out of 5","3 out of 5","3 out of 5 stars","+12"
"146",9,"Tyrone Tracy Jr.",NYG,"RB48","8","2 out of 5","4 out of 5","4 out of 5 stars","+1"
"147",9,"Cam Ward",TEN,"QB25","9","4 out of 5","4 out of 5","3 out of 5 stars","+61"
"148",9,"Zach Charbonnet",SEA,"RB49","11","3 out of 5","4 out of 5","4 out of 5 stars","-11"
"149",9,"Alvin Kamara",NO,"RB50","8","2 out of 5","4 out of 5","3 out of 5 stars","+1"
"150",9,"Brenton Strange",JAC,"TE17","7","4 out of 5","3 out of 5","3 out of 5 stars","+10"
"151",9,"Chig Okonkwo",WAS,"TE18","7","4 out of 5","4 out of 5","1 out of 5 stars","+27"
"152",9,"Jonah Coleman",DEN,"RB51","10","4 out of 5","4 out of 5","2 out of 5 stars","+16"
"153",9,"Isiah Pacheco",DET,"RB52","6","3 out of 5","4 out of 5","5 out of 5 stars","+1"
"154",9,"Hunter Henry",NE,"TE19","11","2 out of 5","4 out of 5","4 out of 5 stars","+2"
"155",9,"Dalton Schultz",HOU,"TE20","8","4 out of 5","2 out of 5","4 out of 5 stars","+28"
"156",9,"Tre Tucker",LV,"WR59","13","4 out of 5","2 out of 5","2 out of 5 stars","+23"
"157",9,"Adonai Mitchell",NYJ,"WR60","13","4 out of 5","4 out of 5","4 out of 5 stars","+73"
"158",9,"Jerry Jeudy",CLE,"WR61","11","2 out of 5","4 out of 5","3 out of 5 stars","+19"
"159",9,"Jauan Jennings",MIN,"WR62","6","2 out of 5","4 out of 5","5 out of 5 stars","+46"
"160",9,"Houston Texans",HOU,"DST1","8","-","-","2 out of 5 stars","-62"
"161",9,"Bryce Young",CAR,"QB26","5","2 out of 5","4 out of 5","2 out of 5 stars","+54"
"162",9,"Tank Bigsby",PHI,"RB53","10","4 out of 5","3 out of 5","4 out of 5 stars","+8"
"163",9,"Jalen McMillan",TB,"WR63","10","4 out of 5","3 out of 5","4 out of 5 stars","+43"
"164",10,"Braelon Allen",NYJ,"RB54","13","2 out of 5","4 out of 5","3 out of 5 stars","+37"
"165",10,"Mike Washington Jr.",LV,"RB55","13","3 out of 5","4 out of 5","2 out of 5 stars","-10"
"166",10,"Denver Broncos",DEN,"DST2","10","-","-","4 out of 5 stars","-50"
"167",10,"Brian Robinson Jr.",ATL,"RB56","11","2 out of 5","4 out of 5","2 out of 5 stars","-5"
"168",10,"Seattle Seahawks",SEA,"DST3","11","-","-","2 out of 5 stars","-46"
"169",10,"Los Angeles Rams",LAR,"DST4","11","-","-","2 out of 5 stars","-54"
"170",10,"Tre' Harris",LAC,"WR64","7","4 out of 5","2 out of 5","2 out of 5 stars","+69"
"171",10,"T.J. Hockenson",MIN,"TE21","6","3 out of 5","4 out of 5","4 out of 5 stars","-10"
"172",10,"Omar Cooper Jr.",NYJ,"WR65","13","4 out of 5","4 out of 5","4 out of 5 stars","+57"
"173",10,"MarShawn Lloyd",GB,"RB57","11","4 out of 5","4 out of 5","4 out of 5 stars","+18"
"174",10,"Jacoby Brissett",ARI,"QB27","14","2 out of 5","4 out of 5","2 out of 5 stars","+78"
"175",10,"Dontayvion Wicks",PHI,"WR66","10","4 out of 5","4 out of 5","4 out of 5 stars","+95"
"176",10,"Philadelphia Eagles",PHI,"DST5","10","-","-","0 out of 5 stars","-37"
"177",10,"Kayshon Boutte",HOU,"WR67","8","3 out of 5","4 out of 5","3 out of 5 stars","+56"
"178",10,"Pat Bryant",DEN,"WR68","10","4 out of 5","4 out of 5","2 out of 5 stars","+77"
"179",10,"Ryan Flournoy",DAL,"WR69","14","4 out of 5","2 out of 5","2 out of 5 stars","+70"
"180",10,"Malik Washington",MIA,"WR70","6","3 out of 5","4 out of 5","3 out of 5 stars","+51"
"181",10,"Jalen Nailor",LV,"WR71","13","-","-","2 out of 5 stars","+18"
"182",10,"Emmett Johnson",KC,"RB58","5","4 out of 5","4 out of 5","3 out of 5 stars","+54"
"183",10,"Travis Hunter",JAC,"WR72","7","3 out of 5","4 out of 5","4 out of 5 stars","+40"
"184",10,"Brandon Aubrey",DAL,"K1","14","5 out of 5","1 out of 5","2 out of 5 stars","-87"
"185",10,"Pittsburgh Steelers",PIT,"DST6","9","-","-","5 out of 5 stars","-34"
"186",10,"New England Patriots",NE,"DST7","11","-","-","3 out of 5 stars","-34"
"187",10,"Keenan Allen",IND,"WR73","13","3 out of 5","3 out of 5","4 out of 5 stars","-14"
"188",10,"Minnesota Vikings",MIN,"DST8","6","-","-","1 out of 5 stars","-30"
"189",10,"Sean Tucker",TB,"RB59","10","4 out of 5","4 out of 5","2 out of 5 stars","+59"
"190",10,"Jaylin Noel",HOU,"WR74","8","4 out of 5","4 out of 5","3 out of 5 stars","+63"
"191",10,"Kimani Vidal",LAC,"RB60","7","1 out of 5","4 out of 5","3 out of 5 stars","+56"
"192",10,"Oronde Gadsden II",LAC,"TE22","7","3 out of 5","4 out of 5","4 out of 5 stars","+6"
"193",10,"AJ Barner",SEA,"TE23","11","4 out of 5","2 out of 5","3 out of 5 stars","-4"
"194",10,"Jacksonville Jaguars",JAC,"DST9","7","-","-","3 out of 5 stars","-22"
"195",10,"Calvin Ridley",TEN,"WR75","9","2 out of 5","4 out of 5","3 out of 5 stars","-5"
"196",10,"Cameron Dicker",LAC,"K2","7","5 out of 5","1 out of 5","2 out of 5 stars","-65"
"197",10,"Ray Davis",BUF,"RB61","7","4 out of 5","4 out of 5","2 out of 5 stars","+43"
"198",10,"Los Angeles Chargers",LAC,"DST10","7","-","-","3 out of 5 stars","-27"
"199",10,"Ka'imi Fairbairn",HOU,"K3","8","5 out of 5","1 out of 5","2 out of 5 stars","-65"
"200",10,"Cam Little",JAC,"K4","7","-","-","4 out of 5 stars","-51"
"201",10,"Baltimore Ravens",BAL,"DST11","13","-","-","5 out of 5 stars","-42"
"202",10,"Tank Dell",HOU,"WR76","8","4 out of 5","4 out of 5","3 out of 5 stars","-33"
"203",10,"Jason Myers",SEA,"K5","11","4 out of 5","1 out of 5","4 out of 5 stars","-71"
"204",10,"Nicholas Singleton",TEN,"RB62","9","3 out of 5","4 out of 5","3 out of 5 stars","+39"
"205",10,"Gunnar Helm",TEN,"TE24","9","3 out of 5","3 out of 5","3 out of 5 stars","+77"
"206",11,"James Conner",ARI,"RB63","14","3 out of 5","4 out of 5","2 out of 5 stars","+7"
"207",11,"Terrance Ferguson",LAR,"TE25","11","4 out of 5","4 out of 5","4 out of 5 stars","0"
"208",11,"Tyler Loop",BAL,"K6","13","-","-","3 out of 5 stars","-27"
"209",11,"Geno Smith",NYJ,"QB28","13","2 out of 5","4 out of 5","4 out of 5 stars","+170"
"210",11,"Eddy Pineiro",SF,"K7","8","4 out of 5","1 out of 5","5 out of 5 stars","-35"
"211",11,"Kenyon Sadiq",NYJ,"TE26","13","3 out of 5","4 out of 5","4 out of 5 stars","-46"
"212",11,"Kansas City Chiefs",KC,"DST12","5","-","-","3 out of 5 stars","-20"
"213",11,"Aaron Rodgers",PIT,"QB29","9","1 out of 5","4 out of 5","2 out of 5 stars","+7"
"214",11,"Green Bay Packers",GB,"DST13","11","-","-","2 out of 5 stars","-28"
"215",11,"Isaac TeSlaa",DET,"WR77","6","3 out of 5","4 out of 5","4 out of 5 stars","+29"
"216",11,"Troy Franklin",DEN,"WR78","10","1 out of 5","4 out of 5","2 out of 5 stars","+69"
"217",11,"Jake Bates",DET,"K8","6","4 out of 5","2 out of 5","5 out of 5 stars","-51"
"218",11,"Darnell Mooney",NYG,"WR79","8","3 out of 5","4 out of 5","4 out of 5 stars","+47"
"219",11,"Rashod Bateman",BAL,"WR80","13","3 out of 5","4 out of 5","4 out of 5 stars","+64"
"220",11,"Cairo Santos",CHI,"K9","10","3 out of 5","3 out of 5","0 out of 5 stars","-23"
"221",11,"Jaydon Blue",DAL,"RB64","14","4 out of 5","4 out of 5","4 out of 5 stars","+21"
"222",11,"Cooper Kupp",SEA,"WR81","11","3 out of 5","4 out of 5","3 out of 5 stars","-27"
"223",11,"Emanuel Wilson",SEA,"RB65","11","3 out of 5","4 out of 5","4 out of 5 stars","+41"
"224",11,"Evan McPherson",CIN,"K10","6","4 out of 5","2 out of 5","2 out of 5 stars","-31"
"225",11,"Kaytron Allen",WAS,"RB66","7","3 out of 5","4 out of 5","4 out of 5 stars","+29"
"226",11,"Harrison Mevis",LAR,"K11","11","4 out of 5","2 out of 5","2 out of 5 stars","-63"
"227",11,"Pat Freiermuth",PIT,"TE27","9","3 out of 5","4 out of 5","2 out of 5 stars","-5"
"228",11,"Detroit Lions",DET,"DST14","6","-","-","5 out of 5 stars","-46"
"229",11,"Cade Otton",TB,"TE28","10","2 out of 5","4 out of 5","2 out of 5 stars","-5"
"230",11,"Germie Bernard",PIT,"WR82","9","2 out of 5","4 out of 5","3 out of 5 stars","+20"
"231",11,"Chase McLaughlin",TB,"K12","10","4 out of 5","2 out of 5","3 out of 5 stars","-28"
"232",11,"Andy Borregales",NE,"K13","11","-","-","1 out of 5 stars","+5"
"233",11,"Buffalo Bills",BUF,"DST15","7","-","-","3 out of 5 stars","-39"
"234",11,"Zachariah Branch",ATL,"WR83","11","3 out of 5","4 out of 5","3 out of 5 stars","+1"
"235",11,"Antonio Williams",WAS,"WR84","7","4 out of 5","2 out of 5","2 out of 5 stars","+16"
"236",11,"Cleveland Browns",CLE,"DST16","11","-","-","5 out of 5 stars","-32"
"237",11,"Jaylen Wright",MIA,"RB67","6","-","-","3 out of 5 stars","+24"
"238",11,"Jack Bech",LV,"WR85","13","3 out of 5","4 out of 5","2 out of 5 stars","+59"
"239",11,"Evan Engram",DEN,"TE29","10","-","-","4 out of 5 stars","+117"
"240",11,"Ja'Kobi Lane",BAL,"WR86","13","4 out of 5","4 out of 5","4 out of 5 stars","-66"
"241",11,"Justice Hill",BAL,"RB68","13","-","-","3 out of 5 stars","-9"
"242",11,"David Njoku",LAC,"TE30","7","4 out of 5","4 out of 5","4 out of 5 stars","-32"
"243",11,"George Holani",SEA,"RB69","11","3 out of 5","4 out of 5","4 out of 5 stars","+32"
"244",11,"Malachi Fields",NYG,"WR87","8","4 out of 5","4 out of 5","4 out of 5 stars","-23"
"245",11,"Greg Dulcich",MIA,"TE31","6","4 out of 5","4 out of 5","5 out of 5 stars","-29"
"246",11,"Harrison Butker",KC,"K14","5","-","-","5 out of 5 stars","-62"
"247",11,"Ollie Gordon II",MIA,"RB70","6","3 out of 5","4 out of 5","3 out of 5 stars","+57"
"248",11,"Keon Coleman",BUF,"WR88","7","2 out of 5","4 out of 5","4 out of 5 stars","+12"
"249",11,"Fernando Mendoza",LV,"QB30","13","4 out of 5","3 out of 5","1 out of 5 stars","-38"
"250",11,"Devaughn Vele",NO,"WR89","8","-","-","3 out of 5 stars","+21"
"251",11,"Chimere Dike",TEN,"WR90","9","1 out of 5","5 out of 5","3 out of 5 stars","+83"
"252",11,"Chris Boswell",PIT,"K15","9","4 out of 5","1 out of 5","4 out of 5 stars","-43"
"253",11,"Chris Bell",MIA,"WR91","6","4 out of 5","4 out of 5","3 out of 5 stars","+14"
"254",11,"Ted Hurst III",TB,"WR92","10","4 out of 5","4 out of 5","4 out of 5 stars","+32"
"255",12,"Isaiah Davis",NYJ,"RB71","13","2 out of 5","4 out of 5","3 out of 5 stars","+286"
"256",12,"Kaelon Black",SF,"RB72","8","3 out of 5","4 out of 5","2 out of 5 stars","-29"
"257",12,"Elic Ayomanor",TEN,"WR93","9","1 out of 5","5 out of 5","3 out of 5 stars","+53"
"258",12,"Demond Claiborne",MIN,"RB73","6","3 out of 5","4 out of 5","4 out of 5 stars","+5"
"259",12,"Tua Tagovailoa",ATL,"QB31","11","2 out of 5","4 out of 5","4 out of 5 stars","+31"
"260",12,"Caleb Douglas",MIA,"WR94","6","2 out of 5","4 out of 5","3 out of 5 stars","-46"
"261",12,"Colby Parkinson",LAR,"TE32","11","-","-","4 out of 5 stars","+40"
"262",12,"Najee Harris",NYG,"RB74","8","2 out of 5","4 out of 5","4 out of 5 stars","-5"
"263",12,"Tory Horton",SEA,"WR95","11","4 out of 5","4 out of 5","3 out of 5 stars","+37"
